feature_set,model,model_type,horizon,sl,tp,threshold,trades,win_rate,pnl_pct,max_dd,profit_factor,trades_per_week,sharpe,final_balance
base,xgb_deep,xgb,12,0.01,0.02,0.55,1391,0.345,-69.43,69.57,0.56,31.2,-9.95,3057.43
base,xgb_deep,xgb,12,0.01,0.02,0.6,1179,0.342,-65.34,65.42,0.56,26.4,-9.52,3466.31
base,xgb_deep,xgb,12,0.01,0.02,0.65,909,0.343,-52.66,52.79,0.59,20.4,-7.7,4734.16
base,xgb_deep,xgb,12,0.01,0.02,0.7,678,0.345,-41.46,41.94,0.62,15.2,-6.16,5853.92
base,xgb_deep,xgb,12,0.015,0.03,0.55,1099,0.387,-57.21,58.5,0.62,24.6,-6.98,4278.74
base,xgb_deep,xgb,12,0.015,0.03,0.6,927,0.388,-54.76,55.35,0.59,20.8,-7.07,4523.82
base,xgb_deep,xgb,12,0.015,0.03,0.65,726,0.394,-40.94,42.63,0.65,16.3,-5.16,5905.85
base,xgb_deep,xgb,12,0.015,0.03,0.7,538,0.407,-30.09,31.82,0.7,12.1,-3.85,6991.33
base,xgb_deep,xgb,12,0.02,0.04,0.55,1014,0.399,-54.93,55.86,0.62,22.7,-6.3,4506.81
base,xgb_deep,xgb,12,0.02,0.04,0.6,855,0.404,-51.51,52.24,0.61,19.2,-6.11,4849.2
base,xgb_deep,xgb,12,0.02,0.04,0.65,657,0.412,-37.33,39.64,0.67,14.7,-4.35,6267.42
base,xgb_deep,xgb,12,0.02,0.04,0.7,485,0.412,-31.82,33.37,0.66,10.9,-3.93,6817.72
base,xgb_ens_std,xgb_ensemble,6,0.01,0.02,0.55,2131,0.335,-81.66,81.66,0.51,47.7,-12.74,1834.39
base,xgb_ens_std,xgb_ensemble,6,0.01,0.02,0.6,2006,0.338,-79.12,79.12,0.52,44.9,-12.25,2088.31
base,xgb_ens_std,xgb_ensemble,6,0.01,0.02,0.65,1874,0.337,-77.37,77.37,0.51,42.0,-12.18,2263.2
base,xgb_ens_std,xgb_ensemble,6,0.01,0.02,0.7,1739,0.334,-75.26,75.26,0.51,39.0,-12.12,2473.64
base,xgb_ens_std,xgb_ensemble,6,0.015,0.03,0.55,1878,0.351,-76.58,76.58,0.52,42.1,-10.99,2342.16
base,xgb_ens_std,xgb_ensemble,6,0.015,0.03,0.6,1768,0.357,-73.57,73.57,0.54,39.6,-10.34,2642.67
base,xgb_ens_std,xgb_ensemble,6,0.015,0.03,0.65,1646,0.357,-71.88,71.88,0.53,36.9,-10.2,2812.25
base,xgb_ens_std,xgb_ensemble,6,0.015,0.03,0.7,1518,0.353,-67.98,67.98,0.54,34.0,-9.66,3202.21
base,xgb_ens_std,xgb_ensemble,6,0.02,0.04,0.55,1796,0.359,-74.45,74.45,0.53,40.2,-10.13,2555.25
base,xgb_ens_std,xgb_ensemble,6,0.02,0.04,0.6,1693,0.365,-71.19,71.19,0.55,37.9,-9.46,2881.47
base,xgb_ens_std,xgb_ensemble,6,0.02,0.04,0.65,1569,0.365,-67.59,67.59,0.56,35.1,-8.97,3241.49
base,xgb_ens_std,xgb_ensemble,6,0.02,0.04,0.7,1449,0.364,-64.67,64.67,0.56,32.5,-8.45,3532.88
base,xgb_ens_std,xgb_ensemble,8,0.01,0.02,0.55,1792,0.348,-78.23,78.41,0.53,40.1,-11.74,2177.42
base,xgb_ens_std,xgb_ensemble,8,0.01,0.02,0.6,1698,0.35,-76.0,76.14,0.53,38.0,-11.45,2399.55
base,xgb_ens_std,xgb_ensemble,8,0.01,0.02,0.65,1563,0.348,-72.06,72.33,0.54,35.0,-10.68,2794.05
base,xgb_ens_std,xgb_ensemble,8,0.01,0.02,0.7,1433,0.341,-70.16,70.16,0.54,32.1,-10.56,2984.04
base,xgb_ens_std,xgb_ensemble,8,0.015,0.03,0.55,1487,0.383,-70.93,71.3,0.54,33.3,-9.72,2906.65
base,xgb_ens_std,xgb_ensemble,8,0.015,0.03,0.6,1402,0.384,-67.88,68.21,0.55,31.4,-9.21,3212.41
base,xgb_ens_std,xgb_ensemble,8,0.015,0.03,0.65,1292,0.376,-63.61,63.86,0.56,28.9,-8.72,3638.93
base,xgb_ens_std,xgb_ensemble,8,0.015,0.03,0.7,1180,0.371,-61.36,61.36,0.56,26.4,-8.4,3863.62
base,xgb_ens_std,xgb_ensemble,8,0.02,0.04,0.55,1392,0.394,-67.62,67.94,0.55,31.2,-8.8,3237.63
base,xgb_ens_std,xgb_ensemble,8,0.02,0.04,0.6,1305,0.394,-65.66,65.87,0.55,29.2,-8.48,3433.58
base,xgb_ens_std,xgb_ensemble,8,0.02,0.04,0.65,1211,0.392,-61.69,61.84,0.56,27.1,-7.97,3831.36
base,xgb_ens_std,xgb_ensemble,8,0.02,0.04,0.7,1104,0.384,-60.15,60.15,0.55,24.7,-8.01,3984.7
base,xgb_ens_std,xgb_ensemble,12,0.01,0.02,0.55,1800,0.356,-77.4,78.01,0.58,40.3,-10.21,2260.19
base,xgb_ens_std,xgb_ensemble,12,0.01,0.02,0.6,1698,0.363,-73.55,74.57,0.61,38.0,-9.26,2645.48
